Alle Berechnungsarten;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;load1;load1;load1;load1
"Zeitpunkt in s";"Impedanz, phi in deg";"Impedanz, mag in p.u.";"Gesamte Wirkleistung/Anschluss i in MW";"Gesamte Blindleistung/Anschluss i in Mvar";"Gesamte Wirkleistung/Anschluss j in MW";"Gesamte Blindleistung/Anschluss j in Mvar";"u1, Betrag/Anschluss i in p.u.";"u1, Betrag/Anschluss j in p.u.";"Mitsystem-Strom, Betrag/Anschluss i in kA";"Mitsystem-Strom, Betrag/Anschluss j in kA";"u1, Betrag in p.u.";"Mitsystem-Strom, Betrag in kA";"Gesamte Wirkleistung in MW";"Gesamte Blindleistung in Mvar"
0,81000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413550;0,99999980;0,01759692;0,01774652;0,99413550;0,01759692;0,49995030;0,00000000
0,82000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995030;0,00000000
0,83000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995030;0,00000000
0,84000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490387;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995030;0,00000000
0,85000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,86000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,87000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,88000000;83,29016326;0,16629975;-0,49995031;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,89000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,90000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,91000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,92000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,93000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,94000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,95000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,96000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,97000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,98000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
0,99000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
1,00000000;83,29016326;0,16629975;-0,49995030;-0,00000000;0,50490386;-0,04794267;0,99413549;0,99999980;0,01759692;0,01774652;0,99413549;0,01759692;0,49995029;0,00000000
