Alle Berechnungsarten;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;Bus1;Bus1;Bus1;Bus2;Bus2;Bus2
"Zeitpunkt in s";"u1, Betrag/Anschluss i in p.u.";"Mitsystem-Spannung, Winkel/Anschluss i in deg";"Gesamte Wirkleistung/Anschluss i in MW";"Gesamte Blindleistung/Anschluss i in Mvar";"u1, Betrag/Anschluss j in p.u.";"Mitsystem-Spannung, Winkel/Anschluss j in deg";"Gesamte Wirkleistung/Anschluss j in MW";"Gesamte Blindleistung/Anschluss j in Mvar";"u1, Betrag in p.u.";"U, Winkel in deg";"Elektrische Frequenz in Hz";"u1, Betrag in p.u.";"U, Winkel in deg";"Elektrische Frequenz in Hz"
0,55000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,56000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,57000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,58000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,59000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,60000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,61000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,62000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,63000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,64000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,65000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,66000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,67000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,68000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,69000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,70000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,71000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,72000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,73000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,74000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,75000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,76000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,77000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,78000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,79000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,80000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,81000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,82000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,83000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,84000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,85000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,86000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,87000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,88000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,89000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,90000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,91000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,92000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,93000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,94000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,95000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,96000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,97000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,98000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
0,99000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,00000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,01000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,02000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,03000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,04000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,05000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,06000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,07000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,08000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,09000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,10000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,11000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,12000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,13000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,14000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,15000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,16000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,17000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,18000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,19000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,20000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,21000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,22000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,23000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,24000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,25000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,26000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,27000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,28000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,29000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,30000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,31000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,32000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,33000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,34000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,35000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
1,36000000;0,98586029;-2,34387904;-25,00000000;-5,00000000;1,00000000;0,00000000;25,12994736;6,10365946;1,00000000;0,00000000;60,00000000;0,98586029;-2,34387904;60,00000000
