IEEE1 Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne
"Zeitpunkt in s";"u";"upss";"voel";"vuel";"uerrs";"vf";"usetp";"Vbias";"avrref"
0,178000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,179000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,180000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,181000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,182000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,183000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,184000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,185000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,186000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,187000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,188000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,189000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,190000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,191000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,192000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,193000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,194000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,195000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,196000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,197000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,198000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,199000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,200000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,201000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,202000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,203000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,204000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,205000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,206000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,207000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,208000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
